Membership No  Date Joined  Active  
    67184      2017-8-15    no    
    24853      2017-8-6     yes   
    36182      2017-4-2     yes   
    12717      2019-9-7     yes   
    14061      2015-10-8    no    
    41324      2017-4-23    yes   
    15315      2015-9-16    yes   
    18671      2020-10-6    no    
    84100      2019-8-10    yes   
    34684      2015-8-18    yes   
    64924      2015-3-13    no    
    75577      2020-6-11    yes   
    87241      2020-6-20    no    
    13646      2016-12-24   no    
    80255      2018-11-24   no    
    10243      2020-3-15    no    
    71064      2015-3-5     yes   
    89658      2018-5-14    yes   
    51371      2019-7-6     no    
    97162      2015-7-23    no    
