Membership No  Date Joined  Active  
    91318      2015-6-4     yes   
    77207      2017-5-21    yes   
    91847      2020-4-24    yes   
    86771      2015-3-4     yes   
    23488      2019-12-5    no    
    96488      2019-6-23    no    
    84251      2018-8-23    yes   
    51039      2018-9-4     no    
    41091      2020-11-5    no    
    18632      2016-1-24    no    
    29470      2020-6-22    yes   
    91280      2019-5-11    yes   
    57606      2016-9-18    yes   
    78395      2017-2-12    yes   
    39573      2017-1-4     yes   
    54476      2018-2-2     no    
    46208      2018-1-11    no    
    27606      2017-6-4     yes   
    34813      2018-5-17    no    
    75939      2019-8-18    yes   
